,title,year,vote_count,vote_average,popularity,homepage,poster_path,wr,Genre
10309,Dilwale Dulhania Le Jayenge,1995,661,9,34.457024,https://www.google.com/search?q=Dilwale+Dulhania+Le+Jayenge,/2gvbZMtV1Zsl7FedJa5ysbpBx2G.jpg,8.56528515289,Romance
351,Forrest Gump,1994,8147,8,48.307194,https://www.google.com/search?q=Forrest+Gump,/yE5d3BUhE8hCnkMUJOo1QDoOGNz.jpg,7.97135652368,Romance
876,Vertigo,1958,1162,8,18.20822,https://www.google.com/search?q=Vertigo,/obhM86qyv8RsE69XSMTtT9FdE0b.jpg,7.81166725713,Romance
40251,Your Name.,2016,1030,8,34.461252,https://www.funimationfilms.com/movie/yourname/,/xq1Ugd62d23K2knRUx6xxuALTZB.jpg,7.78948872019,Romance
883,Some Like It Hot,1959,835,8,11.845107,https://www.google.com/search?q=Some+Like+It+Hot,/pxc9EFCMYkItESpqqrI783yl8Gh.jpg,7.74515380328,Romance
359,The Lion King,1994,5520,8,21.605760999999998,http://movies.disney.com/the-lion-king,/bKPtXn9n4M4s8vvZrbw40mYsefB.jpg,7.90933921419,Animation
5481,Spirited Away,2001,3968,8,41.048867,http://movies.disney.com/spirited-away,/ynXoOxmDHNQ4UAy0oU6avW71HVW.jpg,7.8759333406,Animation
9698,Howl's Moving Castle,2004,2049,8,16.136048000000002,https://www.google.com/search?q=Howl's+Moving+Castle,/iMarB2ior30OAXjPa7QIdeyUfM1.jpg,7.7721025864,Animation
2884,Princess Mononoke,1997,2041,8,17.166725,https://www.google.com/search?q=Princess+Mononoke,/gzlJkVfWV5VEG5xK25cvFGJgkDz.jpg,7.77130469611,Animation
5833,My Neighbor Totoro,1988,1730,8,13.507299,https://www.google.com/search?q=My+Neighbor+Totoro,/2i0OOjvi7CqNQA6ZtYJtL65P9oZ.jpg,7.73527417964,Animation
37863,Sing Street,2016,669,8,10.672862,https://www.google.com/search?q=Sing+Street,/s0C78plmx3dFcO3WMnoXCz56FiN.jpg,7.77685882864,Music
21556,One Direction: This Is Us,2013,209,8,5.988929,http://www.1dthisisus-movie.com/feature/mosaic/,/fs8f3PRdrHQvs4Hk9rFKVv5qCGq.jpg,7.40360450563,Music
40882,La La Land,2016,4745,7,19.681686,http://www.lalaland.movie/,/ylXCdC106IKiarftHkcacasaAcb.jpg,6.97962819353,Music
588,Beauty and the Beast,1991,3029,7,23.433511,http://disney.go.com/disneyvideos/animatedfilms/beauty/?cmp=dcom_VAN_WDSHE_BEA_van_batb__Extl,/b9QJr2oblOu1grgOMUZF1xkUJdh.jpg,6.96833319517,Music
19384,Pitch Perfect,2012,2310,7,11.03595,http://www.pitchperfectmovie.com/,/cLUMPdwCV0Dxd3P1ZkCXe7bVImI.jpg,6.95875052149,Music
10309,Dilwale Dulhania Le Jayenge,1995,661,9,34.457024,https://www.google.com/search?q=Dilwale+Dulhania+Le+Jayenge,/2gvbZMtV1Zsl7FedJa5ysbpBx2G.jpg,8.46302431826,Comedy
351,Forrest Gump,1994,8147,8,48.307194,https://www.google.com/search?q=Forrest+Gump,/yE5d3BUhE8hCnkMUJOo1QDoOGNz.jpg,7.96336329568,Comedy
1225,Back to the Future,1985,6239,8,25.778509,http://www.backtothefuture.com/movies/backtothefuture1,/pTpxQB1N0waaSc3OSn0e9oc8kx9.jpg,7.9523584418,Comedy
18465,The Intouchables,2011,5410,8,16.086919,https://www.google.com/search?q=The+Intouchables,/4mFsNQwbD0F237Tx7gAPotd0nbJ.jpg,7.94520746376,Comedy
22841,The Grand Budapest Hotel,2014,4644,8,14.442048000000002,https://www.google.com/search?q=The+Grand+Budapest+Hotel,/nX5XotM9yprCKarRH4fzOq1VM1J.jpg,7.93638444867,Comedy
24860,The Imitation Game,2014,5895,8,31.595940000000002,http://theimitationgamemovie.com/,/noUp0XOqIcmgefRnRZa1nhtRvWO.jpg,7.96590629386,War
522,Schindler's List,1993,4436,8,41.725122999999996,http://www.schindlerslist.com/,/yPisjyLweCl1tbgwgtzBCNCBle.jpg,7.9549078378,War
1165,Apocalypse Now,1979,2112,8,13.5963,http://www.apocalypsenow.com,/jcvJ2xcVWU9Wh0hZAxcs103s8nN.jpg,7.90724595352,War
5857,The Pianist,2002,1927,8,14.811594,http://www.thepianistmovie.com/,/iunmxWkOi7Vk17Ob3G2HwwjgHsr.jpg,7.89872457566,War
732,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1472,8,9.803980000000001,https://www.google.com/search?q=Dr.+Strangelove+or:+How+I+Learned+to+Stop+Worrying+and+Love+the+Bomb,/tviJ68Wj4glQk3CPMvdvExYHxX.jpg,7.86916127414,War
1213,The Shining,1980,3890,8,19.611589000000002,https://www.google.com/search?q=The+Shining,/9fgh3Ns1iRzlQNYuJyK0ARQZU7w.jpg,7.90129410078,Horror
1176,Psycho,1960,2405,8,36.826309,https://www.google.com/search?q=Psycho,/81d8oyEFgj7FlxJqSDXWr8JH8kV.jpg,7.84333512082,Horror
1171,Alien,1979,4564,7,23.37742,https://www.facebook.com/alienanthology/,/2h00HrZs89SL3tXB4nbkiM7BKHs.jpg,6.94193569124,Horror
41492,Split,2016,4461,7,28.920839,http://www.splitmovie.com/,/rXMWOZiCt6eMX22jWuTOSdQ98bY.jpg,6.94063130219,Horror
14236,Zombieland,2009,3655,7,11.063029,http://www.zombieland.com/,/vUzzDpVrab1BOG3ogxhRGfLN94d.jpg,6.92796891256,Horror
15480,Inception,2010,14075,8,29.108148999999997,http://inceptionmovie.warnerbros.com/,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,7.93906904675,Science Fiction
22879,Interstellar,2014,11187,8,32.213481,http://www.interstellarmovie.net/,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,7.92372807705,Science Fiction
256,Star Wars,1977,6778,8,42.149696999999996,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,7.87610605506,Science Fiction
1225,Back to the Future,1985,6239,8,25.778509,http://www.backtothefuture.com/movies/backtothefuture1,/pTpxQB1N0waaSc3OSn0e9oc8kx9.jpg,7.86586782795,Science Fiction
1154,The Empire Strikes Back,1980,5998,8,19.470959,http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,/6u1fYtxG5eqjhtCPDx04pJphQRW.jpg,7.86072162824,Science Fiction
1159,"The Good, the Bad and the Ugly",1966,2371,8,16.788787,"http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly",/wfPHdfofBD5PN96dV96a51B3Ja2.jpg,7.93562181267,Western
1166,Once Upon a Time in the West,1968,1160,8,15.589351,https://www.google.com/search?q=Once+Upon+a+Time+in+the+West,/giwzmbbRZDva184wBOHDXlrmBa3.jpg,7.87112912551,Western
20051,Django Unchained,2012,10297,7,19.785025,http://unchainedmovie.com/,/5WJnxuw41sddupf8cwOxYftuvJG.jpg,6.98966391774,Western
31865,The Revenant,2015,6558,7,23.501228,http://www.foxmovies.com/movies/the-revenant,/oXUWEc5i3wYyFnL1Ycu8ppxxPvs.jpg,6.98381444158,Western
28131,The Hateful Eight,2015,4405,7,20.328822,http://thehatefuleight.com/,/fqe8JxDNO8B8QfOGTdjh6sPCdSC.jpg,6.97599031027,Western
15480,Inception,2010,14075,8,29.108148999999997,http://inceptionmovie.warnerbros.com/,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,7.95645972313,Thriller
12481,The Dark Knight,2008,12269,8,123.167259,http://thedarkknight.warnerbros.com/dvdsite/,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,7.95016484413,Thriller
292,Pulp Fiction,1994,8670,8,140.95023600000002,https://www.google.com/search?q=Pulp+Fiction,/dM2w364MScsjFf8pfMbaWUcWrR.jpg,7.92999585991,Thriller
46,Se7en,1995,5915,8,18.45743,http://www.sevenmovie.com/,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,7.89857343686,Thriller
24860,The Imitation Game,2014,5895,8,31.595940000000002,http://theimitationgamemovie.com/,/noUp0XOqIcmgefRnRZa1nhtRvWO.jpg,7.89824185288,Thriller
15480,Inception,2010,14075,8,29.108148999999997,http://inceptionmovie.warnerbros.com/,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,7.90652594109,Adventure
22879,Interstellar,2014,11187,8,32.213481,http://www.interstellarmovie.net/,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,7.88342637474,Adventure
4863,The Lord of the Rings: The Fellowship of the Ring,2001,8892,8,32.070725,http://www.lordoftherings.net/,/bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg,7.85493928855,Adventure
7000,The Lord of the Rings: The Return of the King,2003,8226,8,29.324358,http://www.lordoftherings.net,/uexxR7Kw1qYbZk0RYaF9Rx5ykbj.jpg,7.84386709396,Adventure
5814,The Lord of the Rings: The Two Towers,2002,7641,8,29.423537,http://www.lordoftherings.net/,/wf3v0Pn09jnT5HSaYal7Ami3bdA.jpg,7.83264692935,Adventure
15480,Inception,2010,14075,8,29.108148999999997,http://inceptionmovie.warnerbros.com/,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,7.96667398579,Mystery
46,Se7en,1995,5915,8,18.45743,http://www.sevenmovie.com/,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,7.92208849632,Mystery
11354,The Prestige,2006,4510,8,16.94556,http://wwws.warnerbros.de/theprestige/,/5MXyQfz8xUP3dIFPTubhTsbFY6N.jpg,7.8987696495,Mystery
4099,Memento,2000,4168,8,15.450789000000002,http://www.otnemem.com/,/fQMSaP88cf1nz4qwuNEEFtazuDM.jpg,7.8908150554,Mystery
9430,Oldboy,2003,2000,8,10.616859,https://www.google.com/search?q=Oldboy,/rIZX6X0MIHYEebk6W4LABT9VP2c.jpg,7.78244488652,Mystery
11705,A Moment of Innocence,1996,23,8,1.342194,https://www.google.com/search?q=A+Moment+of+Innocence,/ZaCkT5njmz04X8yyJ7OLvBmKC.jpg,6.95892508393,Foreign
10560,Fists in the Pocket,1965,23,8,1.3991069999999999,https://www.google.com/search?q=Fists+in+the+Pocket,/2DXqEUcJ4Mj75IC30GbWccAth68.jpg,6.95892508393,Foreign
567,"Ciao, Professore!",1992,74,7,3.456868,"https://www.google.com/search?q=Ciao,+Professore!",/l5m4ZAGijWr43am5hWYf1T9cEDo.jpg,6.72363887931,Foreign
45168,Olga,2004,41,7,1.620858,https://www.google.com/search?q=Olga,/2K0g91dSCYdIApEHq02Svglxg25.jpg,6.5603458268,Foreign
17421,Delhi Belly,2011,39,7,1.932489,http://www.delhibellythefilm.com/,/9GBSJaqLa1hkza2oCPtmK770nqF.jpg,6.544016981,Foreign
10309,Dilwale Dulhania Le Jayenge,1995,661,9,34.457024,https://www.google.com/search?q=Dilwale+Dulhania+Le+Jayenge,/2gvbZMtV1Zsl7FedJa5ysbpBx2G.jpg,8.60720529282,Drama
12481,The Dark Knight,2008,12269,8,123.167259,http://thedarkknight.warnerbros.com/dvdsite/,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,7.98311081868,Drama
22879,Interstellar,2014,11187,8,32.213481,http://www.interstellarmovie.net/,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,7.98148948125,Drama
2843,Fight Club,1999,9678,8,63.869599,http://www.foxmovies.com/movies/fight-club,/adw6Lq9FiC9zjYEpOqfq03ituwp.jpg,7.97862814415,Drama
314,The Shawshank Redemption,1994,8358,8,51.645403,https://www.google.com/search?q=The+Shawshank+Redemption,/9O7gLzmreU0nGkIB6K3BsJbzvNv.jpg,7.97528641828,Drama
15480,Inception,2010,14075,8,29.108148999999997,http://inceptionmovie.warnerbros.com/,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,7.95509930043,Action
12481,The Dark Knight,2008,12269,8,123.167259,http://thedarkknight.warnerbros.com/dvdsite/,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,7.94860999673,Action
4863,The Lord of the Rings: The Fellowship of the Ring,2001,8892,8,32.070725,http://www.lordoftherings.net/,/bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg,7.92957906247,Action
7000,The Lord of the Rings: The Return of the King,2003,8226,8,29.324358,http://www.lordoftherings.net,/uexxR7Kw1qYbZk0RYaF9Rx5ykbj.jpg,7.92403072851,Action
5814,The Lord of the Rings: The Two Towers,2002,7641,8,29.423537,http://www.lordoftherings.net/,/wf3v0Pn09jnT5HSaYal7Ami3bdA.jpg,7.91838231196,Action
43320,Planet Earth II,2016,50,9,5.651997,http://www.bbc.co.uk/programmes/p02544td,/uy5QoTu8fc6fGXMCTMbpQJFUEB0.jpg,8.06335538835,Documentary
16881,Senna,2010,282,8,11.331859,http://www.sennamovie.co.uk/,/wnC4TllSy7SY16wzPH42mczz97w.jpg,7.84794519991,Documentary
21556,One Direction: This Is Us,2013,209,8,5.988929,http://www.1dthisisus-movie.com/feature/mosaic/,/fs8f3PRdrHQvs4Hk9rFKVv5qCGq.jpg,7.79912179808,Documentary
39085,Planet Earth,2006,176,8,4.501137,https://www.google.com/search?q=Planet+Earth,/zX2tjZXInTpKqFWI8Tf9LYeCg97.jpg,7.76501333056,Documentary
23325,Jodorowsky's Dune,2013,172,8,6.184419999999999,https://www.google.com/search?q=Jodorowsky's+Dune,/a5nWHsTZ4uL7RXpk8njh7WpBHhW.jpg,7.76007533908,Documentary
24860,The Imitation Game,2014,5895,8,31.595940000000002,http://theimitationgamemovie.com/,/noUp0XOqIcmgefRnRZa1nhtRvWO.jpg,7.96022458887,History
522,Schindler's List,1993,4436,8,41.725122999999996,http://www.schindlerslist.com/,/yPisjyLweCl1tbgwgtzBCNCBle.jpg,7.94745029826,History
38244,11.22.63,2016,213,8,5.791978,https://www.google.com/search?q=11.22.63,/5EJGeeuPy19EGDy8HErpbHba0yq.jpg,7.25374166909,History
6669,Come and See,1985,174,8,12.643241999999999,https://www.google.com/search?q=Come+and+See,/oBR0fDwrtScFfecTPAg10potlzQ.jpg,7.15013157687,History
6833,The Passion of Joan of Arc,1928,159,8,8.903953,https://www.google.com/search?q=The+Passion+of+Joan+of+Arc,/5HL0dEJfd7PF0eRiKz8BiNfe8Tf.jpg,7.10218864213,History
1225,Back to the Future,1985,6239,8,25.778509,http://www.backtothefuture.com/movies/backtothefuture1,/pTpxQB1N0waaSc3OSn0e9oc8kx9.jpg,7.8930533202,Family
359,The Lion King,1994,5520,8,21.605760999999998,http://movies.disney.com/the-lion-king,/bKPtXn9n4M4s8vvZrbw40mYsefB.jpg,7.87975423204,Family
5481,Spirited Away,2001,3968,8,41.048867,http://movies.disney.com/spirited-away,/ynXoOxmDHNQ4UAy0oU6avW71HVW.jpg,7.83563516873,Family
5833,My Neighbor Totoro,1988,1730,8,13.507299,https://www.google.com/search?q=My+Neighbor+Totoro,/2i0OOjvi7CqNQA6ZtYJtL65P9oZ.jpg,7.65096763571,Family
926,It's a Wonderful Life,1946,1103,8,15.031588000000001,https://www.google.com/search?q=It's+a+Wonderful+Life,/qRitcyVpWdL7bSV7akDcKTR2YxL.jpg,7.49063700645,Family
4863,The Lord of the Rings: The Fellowship of the Ring,2001,8892,8,32.070725,http://www.lordoftherings.net/,/bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg,7.88812640933,Fantasy
7000,The Lord of the Rings: The Return of the King,2003,8226,8,29.324358,http://www.lordoftherings.net,/uexxR7Kw1qYbZk0RYaF9Rx5ykbj.jpg,7.87948421533,Fantasy
5814,The Lord of the Rings: The Two Towers,2002,7641,8,29.423537,http://www.lordoftherings.net/,/wf3v0Pn09jnT5HSaYal7Ami3bdA.jpg,7.87071141481,Fantasy
3030,The Green Mile,1999,4166,8,19.96678,http://thegreenmile.warnerbros.com/,/3yJUlOtVa09CYJocwBU8eAryja0.jpg,7.77221581401,Fantasy
5481,Spirited Away,2001,3968,8,41.048867,http://movies.disney.com/spirited-away,/ynXoOxmDHNQ4UAy0oU6avW71HVW.jpg,7.76187954669,Fantasy
44677,Black Mirror: White Christmas,2014,211,8,24.910782,https://www.google.com/search?q=Black+Mirror:+White+Christmas,/he609rnU3tiwBjRklKNa4n2jQSd.jpg,7.58547224138,TV Movie
8670,Duel,1972,374,7,12.331251,https://www.google.com/search?q=Duel,/7VZVdqGMYs3swjVbKp4Bhf8Xfne.jpg,6.83117814822,TV Movie
41117,Before the Flood,2016,200,7,5.812786,https://www.google.com/search?q=Before+the+Flood,/lOu2ETjnndhk89SgqK9lFb3Lb4i.jpg,6.7046980526,TV Movie
45258,Descendants 2,2017,171,7,15.842073,https://www.google.com/search?q=Descendants+2,/7TLywOVzWwU1GMyqdjUiSVzBiyc.jpg,6.6625639494,TV Movie
8588,A Charlie Brown Christmas,1965,156,7,5.23652,https://www.google.com/search?q=A+Charlie+Brown+Christmas,/3Bn0tc1BsheZwUQtvl10wTgQ16J.jpg,6.63567661469,TV Movie
